name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
Ablechair,2008,USA,CA,92663,Newport Beach,506 1/2 36th Street,,0
abledbody,2009,USA,CT,06870,Old Greenwich,1465 E. Putnam Avenue,Unit 615,0
AbleNet,,USA,MN,55113,North - Roseville,2808 Fairview Avenue,,0
AblePlay,,USA,IL,60614,Chicago,2001 N. Clybourn,,0
Ableton,1999,DEU,,10437,Berlin,Schoenhauser Allee 6-7,,0
abotic,2008,AUT,,1030,Vienna,Thomas-Klestil-Platz 3,,0
Abound Solar,,USA,CO,80538,Loveland ,2695 Rocky Mountain Avenue,Suite 100,510000000.0
About.com,1996,USA,,,,,,0
About.me,2009,USA,CA,94107,San Francisco,"Pier 38, The Embarcadero",,425000.0
AboutOne,2008,USA,PA,,,,,0
AboutOurWork.com,2011,USA,OH,43215,Columbus,65 E Gay Street,Suite 201,0
AboutUs.org,2006,USA,OR,97214,Portland,107 SE Washington St,Suite 520 ,2500000.0
AboutWeblogs,,AUS,,5095,Mawson Lakes,45 Grasswren Way,,0
Above All Software,2002,USA,CA,94065,Redwood City,One Lagoon Drive ,Suite 110 ,2100000.0
Above Security,1999,CAN,,J7H1N8,Boisbriand,1919 Lionel Bertrand,Suite 203,2500000.0
Above the Fold,2004,USA,MA,02139,Cambridge,686 Massachusetts Ave,Suite 304,0
AboveNet,2003,USA,NY,10601,White Plains,360 Hamilton Avenue,,0
ABR--Affinity BioReagents,1989,USA,CO,80403,Golden,4620 Technology Drive,Suite 600,0
Abraxas,2001,USA,VA,22101,McLean,6845 Elm Street,Suite 310,0
Abraxis BioScience,2007,USA,CA,90025,Los Angeles,11755 Wilshire Blvd.,Suite 2000,0
ABRY Partners,1989,USA,MA,02199,Boston,111 Huntington Avenue,30th floor,0
abs cbn,1946,PHL,,,Quezon City,,,0
ABS Technology Architects,,USA,VA,23462,Virginia Beach,5500 Greenwich Road,,0
ABS-CBN GLOBAL LTD.,2010,PHL,,1103,Quezon City,9/F ELJ Communications Center, Lopez Drive,0
Absara,2002,FRA,,31000,Toulouse,Compans-Caffarelli,,0
Absoft,2004,SWE,,83251,Fr?s?n,?neslingan 11,,0
Absolicon Solar Concentrator,2007,SWE,,871 33,H?rn?sand,Matrosgatan 5,,661000.0
ABSOLU TELECOM,2000,LUX,,L1251,Luxembourg,13 ave du Bois,,0
Absolute Intuistic,2004,GBR,,TW10 6UD,Richmond,Ai House Holbrooke Place,Hill Rise,0
Absolute Media,2009,GBR,,EC2M 3TY,London,Broadgate Court 199 Bishopsgate,,0
Absolute Radio,1993,GBR,,W1F 9DJ,London,No.1 Golden Square,,0
Absolute Software,1993,CAN,,V7X 1K8,Vancouver,1055 Dunsmuir St. ,Suite 1600,0
Absolute Today,2007,USA,IA,52031,Bellevue,100 South 4th Street,,0
"Absolute Web Services, Inc.",1999,USA,FL,33180,Miami,18851 NE 29th Avenue,Suite 727,0
Absolutebyte,,PAK,,54660,Lahore,57-C/1 Gulburg 3,,0
AbsolutMind,2008,GBR,,W1H1PJ,London,"19-21,Crawford street",,0
"Absorbent, Ink.",2000,USA,TX,78744,Austin,"4115 Freidrich Lane, Suite 200",,0
Abstract Mechanical,1995,USA,NY,11738,Farmingville,23 Oakcrest Ave,,0
Abstraktion,2009,GBR,,BS3 1TF,Bristol,"Second Floor, Tobacco Factory",Southville,0
ABT Molecular Imaging,,USA,TN,37934,Knoxville ,11130 Kingston Pike,Suite 1-409,9000000.0
ABTEST.RU,2011,RUS,,109507,Moscow,Talalihina st. 42-9,,0
Abture,2006,IND,,600095,chennai,"No.42,VGP Amutha Nagar",Maduravoial,0
Abu Dhabi Media Company,,ARE,,,Abu Dhabi,4th Street,"Sector 18, Zone1",0
ABUKAI,2010,USA,CA,,San Francisco,,,0
Abundant Closet,2008,USA,GA,30357,Atlanta,PO Box 78860,,60000.0
Abundant Life Academy at Kanab Utah,2000,USA,UT,84741,Kanab,220 W 300 N,,0
Abunga.com,2007,USA,TN,37922,Knoxville,8907 Linksvue Dr,,0
ABUS August Bremicker S?hne,1924,DEU,,58300,Wetter,Altenhofer Weg 25,,0
abusix UG,2009,DEU,,76151,Karlsruhe,Postfach 21 01 27,,0
AC Ticket Guys,2008,USA,NJ,08401,Atlantic City,31 N. Mississippi Ave,,0
ACA Partners,2009,USA,VA,22182,Vienna,1834 Old Gallows Roadq,,0
Acacia Pharma,,GBR,,CB22 7GG,Cambridge ,Harston Mill,Harston,10000000.0
Acacia Research,1992,USA,CA,92660,Newport Beach,500 Newport Center Drive,7th Floor,19600000.0
ACACIA Semiconductor,2003,PRT,,2829-516,Caparica,"Edif. Uninova, Suite 28",Quinta da Torre,368000.0
Academia RFID,2005,CAN,,H8T1A1,Montreal,9942 C?te-de-Liesse,,0
Academic Approach,,USA,IL,60614,Chicago,342 W Armitage Ave ,,0
Academic Capital Exchange,2008,USA,IL,60661,Chicago,226 N. Clinton,,0
Academic Management Systems,,USA,NY,14228,Amherst,1576 Sweet Home Road,,0
AcademicWorks,2010,USA,TX,78705,Austin,3701 N. Lamar Boulevard,Suite 300A,0
AcademixDirect,2004,USA,CA,94043,Mountain View,"1901 Landings Drive, First Floor",,10000000.0
Academy123,2004,USA,CA,91362,Westlake Village,31368 Via Colinas ,Suite 110,0
ACADIA,2009,USA,TX,75254,Dallas,,,0
ACADIA Pharmaceuticals,,USA,CA,92121 ,San Diego,3911 Sorrento Valley Blvd,,15000000.0
AcadiaSoft,,USA,MA,02359,Pembroke,33 Riverside Drive,,4000000.0
Acadium,2006,USA,CO,80214,Denver,6699 West 13th Avenue,,0
ACAL Energy,,GBR,,WA7 4QX,Runcorn ,The Heath Business and Technical Park ,Cheshire ,0
Acambis,1992,GBR,,CB1 9PT,Cambridge,Peterhouse,"Technologypark, 100 Fulbourn Road",0
Acanthus Infotech,,IND,,600044,Chennai,,,0
Acara Global,,USA,OH,45242,Cincinnati,4555 Lake Forest Drive,Suite 650,0
"ACBA Services, Inc.",1977,USA,PA,15219,Pittsburgh,400 Koppers building,436 Seventh Ave.,0
Accedian Networks,,CAN,,H4R 2P1,"Saint-Laurent, QC","4878, Levy, Suite 202 ",,31040000.0
Accedo Broadband,2004,SWE,,164 40,Kista,Farogatan 7,,1270000.0
Accela,1999,USA,CA,94583,San Ramon,2633 Camino Ramon,Suite 120,0
Accela Communications,2000,USA,MA,01772,Southborough,136 Turnpike Road ,,0
Accela Print,,USA,CA,90013,Los Angeles,417 S Hill St,Suite 208,0
Acceleraction,1990,BRA,,04583-904,Sao Paulo,"Av. Dr. Chucri Zaidan, 920",9 andar - Morumbi,0
Accelerance ,,USA,CA,,Redwood City,,,0
Accelerate Mobile Apps,2009,USA,CA,95066,Scotts Valley,5321 Scotts Valley Drive,Suite 208,250000.0
Accelerated IO,2004,USA,OK,74133,Tulsa,7633 East 63rd Pl,Suite 300,3000000.0
Acceleratio,,HRV,,21000,Split,,,0
Accelerator for a Clean and Renewable Economy,,USA,NY,10013,New York,160 Varick Street,12th Floor,0
AccelerEyes,2007,USA,GA,30308 ,Atlanta,75 5th St NW,Suite 204 ,0
Accelerize New Media,2005,USA,CA,90025,Los Angeles,12121 Wilshire Blvd,Suite 322,745500.0
Accelero Bioanalytics,2011,DEU,,13187,Berlin,Schulzestrasse 20,,0
Acceleron Pharma,2004,USA,MA,02139,Cambridge,128 Sidney Street,,81851121.0
AccelGolf,2008,USA,MA,02138,Cambridge,,,562000.0
Accelio Corporation,,CAN,,K1S 5K2,"Ottowa, ONTARIO",560 Rochester Street,,0
Accell Telesystems,1982,CAN,,,,,,0
Accellion,1999,USA,CA,94303,Palo Alto,1804 Embarcadero Road #200,,0
Accellos,2006,USA,CO,80903,Colorado Springs,90 South Cascade Avenue,Suite 1200,51400000.0
AccelOps,2007,USA,CA,95054,Santa Clara,"2905 Stender Way, Suite 48",,0
Accelrys,,USA,CA,92121,San Diego,10188 Telesis Court,Suite 100,0
Accelsor,2010,USA,CA,,Los Angeles,,,0
Accelya,,ESP,,,,"Av. Diagonal 567, 3?",08029 BARCELONA,0
Accent ,,ITA,,,,"Via Trieste, 26/28",20059 Vimercate,0
Accent Food Services,1986,USA,TX,78708,Austin,P.O. Box 80175 ,,0
Accentia,,IND,,400614,Navi Mumbai,D-207 Second Floor,International Infotech Centre CBD Belapur,0
Accentium Web,2007,IND,,122016,Gurgaon,,,0
Accenture Technology Ventures,,USA,CA,94025,Palo Alto,1661 Page Mill Road ,,0
Accenx Technologies,1997,USA,CA,92618,Irvine,6 Jenner,Suite 260,0
Accept Software,2002,USA,CA,94538,Fremont,42840 Christy Street,Suite,25305000.0
AcceptEmail,2006,NLD,,1096 AT,Amsterdam,Joop Geesinkweg 125,,0
Acceptys,2002,USA,NJ,07871,Sparta,1 Main Street,,0
Accera,2001,USA,CO,Broomfield,Broomfield,Interlocken Advanced Technology Park,"380 Interlocken Crescent, Suite 780",61550000.0
Accertify,2007,USA,IL,60143,Itasca,1075 w. Hawthorn Drive, ,4700000.0
Access,1979,JPN,,101-0064,"Chiyoda-ku, Tokyo","Hirata Bldg, 2-8-16 Sarugaku-cho",,0
Access 360 Media,,USA,CA,90291,Los Angeles,1255 Electric Ave,,20000000.0
Access Closure,2002,USA,CA,94043,Mountain View,645 Clyde Avenue,,9999998.0
Access Communications,1991,USA,CA,94105,San Francisco,101 Howard Street,Suite 200,0
Access Development,1984,USA,UT,84119,Salt Lake City,1012 W. Beardsley Pl,,0
Access Forensics,,USA,MO,63101,St. Louis,911 Washington Ave.,Suite 620,0
Access Innovations,1978,USA,NM,87110,Albuquerque,"4725 Indian School Rd. NE, Suite 100",,0
Access Intelligence,,USA,MD,20850,Rockville,4 Choke Cherry Road ,Second Floor ,7380000.0
ACCESS Litigation Support Services,2002,USA,DC,20005,Washington,1101 Vermont Avenue,Suite C1,0
Access Marketing Company,,USA,CO,80134 ,Parker,Greater Denver area ,PO Box 547 ,0
Access New Media,2010,USA,CA,94107,San Francisco,350 Townsend #308A,,0
Access Northeast,1999,USA,MA,01752,Marlborough,34 Staint Martin Drive,Suite 3,1999998.0
Access One,1993,USA,IL,60607,Chicago,820 W. Jackson,Suite 650,0
Access Point,2008,ROM,,700187,Iasi,Socola 134a,,4500000.0
Access Scientific,2004,USA,CA,92130,San Diego,12526 High Bluff Drive,Suite 360,10000000.0
Access Systems,,USA,VA,20190,Reston,11710 Plaza America Drive,Suite 900,0
Access UK,,GBR,,CO7 6LZ,Essex,The Old School,"Stratford St Mary, Colchester",0
Accessdata,1987,USA,UT,84042 ,Lindon,384 South 400 West ,Suite 200 ,0
AccessFlow,,USA,CA,95834,Sacramento,1100 N. Market Blvd,Suite 204,0
Accesstream,2008,USA,GA,,Atlanta,,,0
Accio Energy,2007,USA,MI,48108,Ann Arbor,704 Airport Boulevard,Suite 6,0
Accipiter Systems,,USA,PA,15090,Wexford,12330 Perry Highway,,0
Acclarent,2004,USA,CA,94025,Menlo Park,,,0
Acco Brands,1947,USA,IL,60069,Lincolnshire,300 Tower Parkway,,10000000.0
Accolo,,USA,CA,94939,Larkspur,900 Larkspur Landing Circle,Suite 160,0
Accomplice,,USA,CA,,Palo Alto,,,0
Accoona,2004,USA,,07302,Jersey City,101 Hudson Street,Suite 3501,0
Accord Technologies,,AUS,,6021,Balcatta,"Unit 3, 75 Erindale Rd",,0
Accordance Bible Software,,USA,FL,32701,Altamonte Springs,498 Palm Springs Drive,Suite 100,0
Accordent Technologies,,USA,CA,90245,El Segundo,300 N. Continental Blvd.,Suite 200,4000000.0
ACCORPA,2011,EGY,,21615,Alexandria,"25, 314 St. Judges Division",Smouha,0
Accorto,,USA,CA,94065,Redwood City,303 Twin Dolphin Drive,Suite 600,0
Accountancy,2010,GBR,,WC2R 0AP,London,King Street,,0
Accountancy Age,,GBR,,W1A 2HG,London,32-34 Broadwick Street,,0
AccountantsWorld,1983,USA,NY,11788,Hauppauge,140 Fell Court,,0
AccountMaven,2007,USA,,,,,,0
AccountNow,,USA,CA,94583,San Ramon,,,34072000.0
Accountz.com,1985,GBR,,PE16 6TT,Chatteris,South Fens Business Centre,Fenton Way,0
Accretive Health,2003,USA,IL,60611,Chicago,401 North Michigan Avenue,Suite 2700,0
Accruent Holdings,,USA,CA,90404,Santa Monica,1601 Cloverfield Blvd.,Suite 500 South,32000000.0
Accton Technology,,TWN,,,,"1, Creation 3rd Rd.","Science-based Industrial Park, Hsinchu 300",0
Accu-Time Systems,1991,USA,CT,06029,Ellington,420 Somers Road,,0
AccuConference,2002,USA,TX,76116,Ft Worth,6300 Ridglea Place,Suite 318,0
Accudata Technologies,1989,USA,TX,75013,Allen,800 N. Watters Road,Suite 130,0
AccuDraft,1992,USA,FL,32746,Lake Mary,801 International Pkwy,Suite 500,650000.0
Accuity,,USA,IL,60076,Skokie,4709 West Golf Road,Suite 600,0
Acculynx,2006,USA,IL,61072,Rockton,"330 E. Main St., Suite 400",,0
Accumetrics,1996,USA,CA,92121 ,San Diego,3985 Sorrento Valley Blvd.,,74150000.0
Accumulate,2004,GBR,,SW10 0XD,LONDON,306 Harbour Yard,Chelsea Harbour,2050000.0
Accumulus,2009,USA,OR,97296,Portland,,,0
accumulusplus,2010,USA,CA,94117,San Francisco,1739 10th Ave.,,0
AccuNOC,2008,USA,NJ,08816,East Brunswick,,,0
AccuProcess,2009,USA,IL,60610,Chicago,,,0
Accuracy Marketing,,USA,CA,95015 ,Cupertino,Box 1855,,0
Accurate Append,,USA,CA,95825,Sacramento,2225 Hurley Way #102,,0
Accurate Background,1997,USA,CA,92630,Lake Forest,6 Orchard,Suite 200,0
Accuray,,USA,CA,94089,Sunnyvale,1310 Chesapeake Terrace,,0
AccuRev,,USA,MA,02421 ,Lexington,10 Maguire Road,Bldg. 1 ,2100000.0
Accuri Cytometers,,USA,MI,48103,Ann Arbor,173 Parkland Plaza,,32655000.0
Accuship,1994,USA,TN,38125,Memphis,3400 Players Club Parkway ,Suite 300 ,0
Accuvant,,USA,CO,80202,Denver,"1125 17th Street, Suite 1700",,0
Accuvia,,USA,RI,02818,East Greenwich,"5 Division Street, 3rd Floor",,0
"Accuweaver, LLC",2004,USA,CA,94551,Livermore,628 Saddleback Circle,,0
Ace & Partners,1980,KOR,,405-849,," 451-3, Nonhyeon-dong","Namdong-gu, Incheon",0
ACE Dental Software,1989,USA,GA,30328,Atlanta,7365 Wildercliff Dr.,,0
