"","name","country_code","amount_raised","category_code","number_of_employees","founded_year"
"23740","SmartEquip","USA",20690,"public_relations","80","2001"
"23745","Sojern","USA",25000,"other","50","2007"
"23748","Stillwater Supercomputing","USA",250,"hardware","10","2007"
"23751","StyleHop","USA",570,"hardware","6","2009"
"23753","StillSecure","USA",5000,"security","","2000"
"23754","Soma Networks","USA",51000,"network_hosting","","1999"
"23758","Solavista","USA",250,"public_relations","8","2000"
"23768","Silver Tail Systems","USA",22100,"software","10","2008"
"23769","SheZoom","USA",2000,"network_hosting","",""
"23777","ScienceLogic","USA",15000,"software","50",""
"23780","SecondMarket","USA",19150,"other","125","2004"
"23781","SenSage","USA",36250,"network_hosting","","2004"
"23786","SolarWinds","USA",217500,"network_hosting","354","1999"
"23789","Sell My Timeshare NOW","GBR",10100,"ecommerce","","2008"
"23805","Stratavia","USA",10700,"software","45","2001"
"23806","SageQuest","USA",7720,"mobile","","2003"
"23808","SeeSaw Networks","USA",19388.876,"advertising","",""
"23810","Stockezy","USA",100,"web","3","2008"
"23812","Secure64","USA",3700,"software","","2002"
"23814","Smart Destinations","USA",13000,"web","",""
"23816","Sonopia","USA",21450,"mobile","","2005"
"23817","Silver Spring Networks","USA",217930,"enterprise","650","2002"
"23818","SideStripe","USA",250,"search","",""
"23819","Sonim Technologies","USA",8000,"mobile","200","1999"
"23821","Sennari","USA",17000,"software","","2005"
"23823","SolidCore","USA",10000,"security","",""
"23835","SaftPay","USA",6000,"ecommerce","",""
"23836","Spring Wireless","USA",78000,"mobile","","2001"
"23837","Schooner Information Technology","USA",35000,"software","","2007"
"23840","Silverpop","USA",15000,"software","380","1999"
"23841","Sustainable Real Estate Solutions","USA",1050,"software","",""
"23842","Sensory Networks","USA",17400,"web","","2003"
"23845","SourceLabs","USA",7000,"enterprise","",""
"23846","Socialbomb","USA",240,"games_video","6","2008"
"23848","SmartTurn","USA",5000,"advertising","","2004"
"23849","Siperian","USA",25000,"software","",""
"23850","Symplified","USA",15200,"enterprise","23","2006"
"23852","SpongeFish","USA",2000,"web","",""
"23853","SundaySky","ISR",17000,"ecommerce","50","2006"
"23859","SecureMedia","USA",4000,"security","","1996"
"23860","ScaleMP ","USA",8000,"software","",""
"23861","Silicon Clocks","USA",26100,"semiconductor","","2004"
"23863","Spare Backup","USA",1500,"web","",""
"23865","Siimpel Corporation","USA",53818.873,"hardware","","2000"
"23871","Stiki Digital","USA",325,"web","6","2007"
"23872","scanR","USA",14200,"mobile","","2005"
"23878","Samplify Systems","USA",22000,"other","","2006"
"23885","Swyzzle","USA",90,"software","3","2006"
"23887","SparkBase","USA",6990,"software","14","2004"
"23893","SendMeHome.com","USA",50,"games_video","2","2008"
"23895","SaaSPlex","IRL",500,"enterprise","10","2007"
"23896","SensorTran","USA",17000,"hardware","","1996"
"23898","Simple Lifeforms","GBR",100,"games_video","10","2008"
"23905","Silicon Genesis","USA",23000,"hardware","","1997"
"23907","Symwave","USA",26200,"semiconductor","","2001"
"23908","Signiant","USA",10000,"software","70","2000"
"23912","SkyData Systems","USA",4000,"mobile","",""
"23921","Speedshape","USA",5000,"consulting","","2003"
"23922","Silver Peak Systems","USA",51216,"software","","2004"
"23923","Silentium ","ISR",1800,"other","",""
"23926","Shocking Technologies","USA",30200,"hardware","","2006"
"23932","Storwize","USA",28000,"other","","2004"
"23935","SynapticMash","USA",5000,"software","",""
"23936","SIMPLEROBB.COM","USA",5.6,"enterprise","5","2008"
"23938","Steelbox Networks","USA",10000,"security","","2003"
"23945","Serus","USA",13800,"web","","2000"
"23946","SpaceClaim","USA",33000,"software","","2005"
"23950","Staccato Communications","USA",55500,"mobile","","2002"
"23956","Sequoia Media Group","USA",8800,"web","",""
"23965","Sittercity","USA",30600,"web","",""
"23967","SimilarGroup","ISR",1100,"other","7","2007"
"23970","ShotSpotter ","USA",39400,"other","","1995"
"23971","Space Time Insight","USA",2000,"software","",""
"23977","Skycross","USA",34000,"hardware","",""
"23981","Synapse","USA",3000,"software","","1995"
"23982","Symphogen","DNK",160400,"biotech","",""
"23984","South49 Solutions","USA",1200,"software","",""
"23988","Spotigo","DEU",638,"software","","2005"
"23989","Selatra","IRL",2000,"games_video","","2002"
"23992","Search Solutions Ltd","GBR",1000,"advertising","4","2004"
"23993","Sendio","USA",7000,"security","",""
"24009","Skytap","USA",23000,"enterprise","30","2006"
"24011","Superfish","USA",9300,"search","","2006"
"24016","Scale Computing","USA",31000,"enterprise","","2006"
"24018","ScoreGrid","ZAF",700,"network_hosting","10","2007"
"24030","SeatKarma","USA",30,"web","2","2008"
"24031","Skoodat","USA",2000,"software","9","2008"
"24037","Stantum","FRA",18790,"hardware","","2002"
"24044","Simulmedia","USA",12000,"advertising","9","2008"
"24047","Socialwise","USA",3400,"ecommerce","",""
"24048","SchemaLogic","USA",18687.288,"software","","2001"
"24049","Safend","ISR",16400,"software","","2003"
"24053","SmartZip","USA",6550,"other","30","2008"
"24060","Stentys","FRA",72800,"biotech","5","2006"
"24069","SpaBooker","USA",200,"software","42","2007"
"24075","SuperSecret","USA",10000,"web","",""
"24076","SCVNGR","USA",19785,"mobile","60","2008"
"24089","SwapBeats","USA",250,"web","12","2008"
"24102","Swoopo","USA",14000,"ecommerce","",""
"24103","Sepaton","USA",37500,"hardware","","1999"
"24106","Suniva","USA",219400,"cleantech","","2006"
"24112","Smallaa","USA",3000,"web","5","2008"
"24118","SolarEdge","USA",48000,"cleantech","","2006"
"24121","Setera Communications","FIN",6440,"public_relations","","2005"
"24123","Still River Systems","USA",44500,"biotech","",""
"24125","Selecta Biosciences","USA",33100,"biotech","",""
"24127","Solera Networks","USA",31700,"security","48","2005"
"24128","Synageva BioPharma","USA",117000,"biotech","",""
"24129","StoredIQ","USA",31100,"enterprise","60","2001"
"24131","Samasource","USA",1127.2,"web","9","2008"
"24135","Schoolnet","USA",44500,"web","",""
"24137","Stretch","USA",52000,"semiconductor","60","2002"
"24139","SurveyMonkey","USA",1e+05,"web","75","1999"
"24148","Scoreloop","DEU",2800,"mobile","",""
"24151","Sutherland Global Services","USA",30000,"software","","1986"
"24152","SensorLogic","USA",19000,"public_relations","38","2002"
"24155","Sonos","USA",64950,"hardware","167","2003"
"24162","Symform","USA",5500,"network_hosting","",""
"24163","SeeWhy","USA",10667,"ecommerce","","2003"
"24165","Synosia Therapeutics","CHE",91500,"biotech","",""
"24167","ShareNotes.com","USA",250,"other","5","2008"
"24168","Servo Software","USA",5250,"mobile","40","2008"
"24169","SPOC Medical","USA",800,"other","5","2006"
"24170","Sprig Toys","USA",2300,"cleantech","",""
"24172","Square","USA",37500,"mobile","","2009"
"24179","SkyFuel","USA",17000,"cleantech","35","2007"
"24186","Siklu","ISR",12000,"mobile","","2007"
"24187","SpinalMotion","USA",500,"biotech","","2004"
"24188","Sand 9","USA",20000,"mobile","","2007"
"24189","SmallRivers","CHE",3100,"web","","2008"
"24192","SimpleGeo","USA",9807.367,"mobile","25","2009"
"24198","Senscient","USA",5600,"cleantech","","2004"
"24199","SatNav Technologies","IND",7000,"mobile","100","2004"
"24201","Simparel","USA",4000,"software","",""
"24203","Social Collective","USA",20,"web","3","2009"
"24204","siXis","GBR",5000,"semiconductor","",""
"24206","Saavn","USA",6000,"games_video","25","2007"
"24208","Social Solutions","USA",11750,"software","","2006"
"24209","SkillSurvey","USA",1800,"software","12","2002"
"24211","Security Innovation","USA",9100,"security","",""
"24212","Syntensia","SWE",3500,"software","","2005"
"24213","SQFive Intelligent Oilfield Solutions","CAN",4710,"software","",""
"24219","Selero","USA",1600,"software","",""
"24224","Stromedix","USA",28000,"biotech","",""
"24229","Silver Lining Solutions","GBR",2147,"software","",""
"24230","Secure Fortress","USA",982,"network_hosting","",""
"24231","snagajob.com","USA",41000,"web","","1999"
"24236","Stion","USA",65000,"cleantech","","2006"
"24241","Soliant Energy","USA",18000,"cleantech","","2005"
"24242","SunEdison","USA",176000,"cleantech","",""
"24244","SunRun","USA",275000,"cleantech","70","2007"
"24246","Stemline Therapeutics","USA",12500,"biotech","",""
"24251","SLR Consulting","GBR",64420,"cleantech","650","1994"
"24254","Sauce Labs","USA",1119.47,"software","6","2008"
"24258","Strategic Polymer Sciences","USA",4000,"biotech","",""
"24260","SolarOne Solutions","USA",1500,"cleantech","",""
"24262","Solar Power Partners","USA",253000,"cleantech","",""
"24263","Stellaris","USA",7450,"cleantech","",""
"24264","Senergen Devices","USA",2500,"cleantech","",""
"24265","Solar Junction","USA",31320,"cleantech","",""
"24268","Semprus BioSciences","USA",26000,"biotech","27","2006"
"24271","SOMS Technologies","USA",500,"cleantech","",""
"24275","Sustainable Energy ","CAN",7600,"cleantech","",""
"24278","Strix Systems","USA",19000,"network_hosting","",""
"24279","StoreFront.net","USA",6000,"ecommerce","","1996"
"24281","Singulex","USA",47350,"biotech","25","2003"
"24282","S*Bio","SGP",143500,"biotech","28","2000"
"24287","Sagent Pharmaceuticals","USA",70000,"biotech","","2007"
"24288","Seriosity","USA",6000,"software","","2004"
"24289","Solazyme","USA",145800,"cleantech","","2003"
"24290","Solix Biofuels ","USA",37800,"cleantech","50",""
"24291","Stormfisher Biogas","CAN",350000,"cleantech","",""
"24295","Sticher","USA",100,"games_video","","2008"
"24296","Syphir","USA",25,"software","3","2009"
"24299","Sadra Medical","USA",58000,"biotech","",""
"24303","Solexant","USA",63970,"cleantech","","2006"
"24312","Sutro Biopharma","USA",73805,"biotech","",""
"24314","SolarReserve","USA",140000,"cleantech","","2007"
"24315","Seahorse Bioscience","USA",11000,"biotech","",""
"24316","SynapCell","FRA",4430,"biotech","","2005"
"24319","Silex Microsystems","SWE",30710,"software","","2000"
"24321","SteadyMed","ISR",2000,"biotech","",""
"24322","Siluria Technologies","USA",16600,"biotech","",""
"24328","Solus Biosystems","USA",800,"biotech","",""
"24329","SynCardia Systems","USA",14000,"biotech","","2005"
"24334","SunGard","USA",316000,"software","",""
"24340","Si2 Microsystems","USA",12700,"semiconductor","","2006"
"24341","Schoolwires","USA",12000,"software","63",""
"24342","SpectraLinear","USA",39000,"semiconductor","32","2006"
"24344","Silecs","FIN",31570,"semiconductor","21","2000"
"24348","Sunovia","USA",12000,"cleantech","",""
"24349","Spiracur","USA",55300,"biotech","",""
"24351","Social Media Networks","USA",6000,"advertising","","2007"
"24352","StreamBase Systems","USA",37500,"software","149","2003"
"24353","SoloPower","USA",184790,"cleantech","","2005"
"24354","Solairedirect","FRA",26590,"cleantech","150","2006"
"24356","StyleCaster","USA",4000,"web","18","2007"
"24363","Sana Security","USA",12000,"security","","2000"
"24367","SoftLayer","USA",30000,"network_hosting","",""
"24368","Semprius","USA",15000,"cleantech","","2005"
"24374","SpeakSoft","USA",988.957,"public_relations","","2007"
"24381","Sawbuck Realty","USA",2000,"web","10","2008"
"24382","Savara Pharmaceuticals","USA",1478,"biotech","","2007"
"24384","SVTC Technologies","USA",34000,"consulting","",""
"24385","SS8 Networks","USA",30500,"public_relations","",""
"24386","Storage Appliance Corporation","CAN",25000,"network_hosting","",""
"24387","SignaCert","USA",18800,"software","",""
"24394","Slurp.co.uk","GBR",200,"ecommerce","7","2006"
"24396","SandForce","USA",46000,"semiconductor","","2006"
"24397","Sierra Monolithics","USA",25200,"public_relations","60","1986"
"24399","Silego Technology","USA",5750,"semiconductor","40","2001"
"24400","Sovicell","DEU",1190,"biotech","",""
"24412","Sirific Wireless","USA",18800,"semiconductor","","2000"
"24414","SOA Software ","USA",11000,"software","","1998"
"24421","SolarPower Israel","ISR",1100,"cleantech","",""
"24426","Seven Seas Water","USA",20000,"cleantech","50","1997"
"24432","Second Wind","USA",4000,"cleantech","",""
"24435","shopkick","USA",20000,"mobile","20","2009"
"24437","SiXtron Advanced Materials","CAN",12410,"cleantech","","2004"
"24439","SolarBridge Technologies","USA",34000,"cleantech","","2004"
"24440","Steek SA","FRA",12000,"software","","2002"
"24443","ServiceSidekick","USA",1000,"software","7","2006"
"24447","Siano","USA",41500,"semiconductor","","2004"
"24450","SWN Communications","USA",33000,"public_relations","",""
"24454","SunLink","USA",2900,"cleantech","",""
"24456","Smartesting","FRA",8520,"software","","2003"
"24460","SnapMyLife","USA",4000,"other","","2011"
"24463","Signostics","USA",9000,"biotech","",""
"24464","Sensys Networks","USA",5000,"public_relations","",""
"24466","SparkWords","USA",5000,"web","",""
"24467","SafeTool","SWE",4660,"security","",""
"24468","smartfundit.com","GBR",5170,"software","","2006"
"24471","SOLEM Electronique","FRA",5460,"hardware","","1984"
"24472","Serious Materials","USA",132180,"cleantech","",""
"24477","Skipjump","USA",15,"web","3","2008"
"24480","SIMTEK","USA",14920,"semiconductor","75","1986"
"24487","Space Pencil","USA",3990.185,"web","",""
"24490","Solar & Environmental Technologies","CHN",3000,"cleantech","",""
"24506","Sol Voltaics","SWE",1220,"cleantech","","2007"
"24507","Spiralcat","USA",80,"cleantech","",""
"24511","StoneRiver","USA",12300,"software","",""
"24528","SendGrid","USA",5762,"public_relations","25","2009"
"24530","SCI","CAN",12000,"software","","1994"
"24532","Social GameWorks","USA",120,"games_video","5","2008"
"24536","SOMA Barcelona","ESP",34,"mobile","4","2009"
"24539","Scali","USA",3500,"software","","1997"
"24543","SoftGenetics","USA",250,"software","",""
"24546","SMR SITE","USA",60,"search","1","2009"
"24559","ShoutNow","USA",20,"web","3","2008"
"24565","Socialware","USA",4800,"enterprise","","2009"
"24573","Shiftboard Online Scheduling","USA",750,"software","","2002"
"24575","Storific","FRA",200,"web","5","2009"
"24579","Signicat","NOR",1530,"security","","2006"
"24581","SignTrak","USA",370,"software","","2004"
"24587","Superprotonic","USA",8000,"cleantech","",""
"24588","Streamfile","SWE",35,"network_hosting","1","2007"
"24590","Spectrum K12 School Solutions","USA",13100,"software","","1996"
"24591","Silicon Hive","NLD",17000,"semiconductor","","2003"
"24593","Smith & Tinker","USA",29000,"games_video","","2007"
"24596","ShopWell","USA",3994.697,"web","15","2008"
"24598","Solasta","USA",1000,"cleantech","","2006"
"24602","StuffBuff","USA",250,"ecommerce","4","2008"
"24603","Smartdate","FRA",7800,"web","30","2010"
"24606","SAIC","USA",22000,"other","45400","1969"
"24609","SemEquip","USA",26000,"semiconductor","","2000"
"24610","SNAPin Software","USA",22300,"software","","2003"
"24611","Solvate","USA",10300,"other","","2007"
"24621","Stribe","FRA",600,"web","7","2008"
"24631","Swarmforce","USA",350,"web","3","2008"
"24637","SmApper Technologies","AUT",9664.366,"network_hosting","","2005"
"24638","Shidonni","ISR",1500,"games_video","8","2008"
"24646","Skill-Life","USA",25,"games_video","","2007"
"24647","SeatGeek","USA",2120,"web","5","2009"
"24649","Sierra Surgical","USA",21600,"biotech","",""
"24656","Synthetic Genomics","USA",30000,"biotech","","2005"
"24657","Sylvan Source","USA",1500,"cleantech","","2003"
"24658","Schoology","USA",1250,"software","","2009"
"24660","SpareFoot","USA",4350,"web","14","2008"
"24661","Satiety","USA",62800,"biotech","","2000"
"24662","Sientra","USA",85000,"biotech","",""
"24663","StrataGent Life Sciences","USA",16000,"biotech","",""
"24664","StockCastr","USA",25,"web","",""
"24669","SGX Pharmaceuticals","USA",25000,"biotech","","1998"
"24672","Sanarus Medical","USA",15000,"biotech","","1999"
"24673","Solaicx","USA",39441.659,"cleantech","","2002"
"24677","Segetis","USA",32236.273,"cleantech","","2006"
"24683","SpineAlign Medical","USA",8800,"biotech","",""
"24686","Sonoma Orthopedics","USA",32000,"biotech","25",""
"24688","Solar Notion","USA",10000,"cleantech","",""
"24690","SpineGuard","USA",4000,"biotech","",""
"24692","Seaside Therapeutics","USA",30000,"biotech","","2005"
"24699","Soane Energy","USA",10000,"cleantech","","2006"
"24700","Spinal Kinetics","USA",5300,"biotech","","2003"
"24703","Sungevity","USA",23500,"cleantech","90","2008"
"24707","SimGym","USA",6.5,"software","5","2009"
"24713","SponsorPay","DEU",9590,"software","","2009"
"24716","SMX","NZL",1670,"security","","2006"
"24718","StayClassy","USA",1250,"software","10","2006"
"24719","Sportelligence","USA",1008.401,"software","","2005"
"24721","SecureWorks","USA",31500,"security","","1999"
"24725","Spring Partners","USA",4000,"web","15","2008"
"24730","Santur Corporation","USA",13000,"network_hosting","","2000"
"24731","Southwest Nanotechnologies","USA",3000,"enterprise","","2001"
"24733","Slime Sandwich","USA",2750,"games_video","","2009"
"24739","Second Porch","USA",1725,"web","","2009"
"24747","SeaMicro","USA",35000,"network_hosting","",""
"24748","Saplo","SWE",690,"web","9","2008"
"24749","Soladigm","USA",66700,"cleantech","",""
"24757","Shoes of Prey","AUS",50,"ecommerce","4","2009"
"24758","SetJam","USA",500,"web","10","2009"
"24767","SANpulse Technologies","USA",5000,"network_hosting","","2005"
"24768","SprayCool","USA",10000,"hardware","","1988"
"24776","Space Exploration Technologies","USA",200435,"other","","2002"
"24777","Shanghai SynaCast Media","CHN",11717.309,"advertising","",""
"24779","Skytide","USA",6000,"software","","2004"
"24782","Saaspoint","GBR",2010,"software","","2005"
"24793","Sanovia Corporation","USA",11000,"biotech","","2003"
"24796","Sleek Audio","USA",285,"hardware","",""
"24807","ScanSafe","USA",16350,"security","","2004"
"24810","Sundrop Mobile","USA",900,"advertising","15","2010"
"24821","Sonicbids","USA",4500,"other","47","2000"
"24822","Soluto","ISR",7800,"software","25","2007"
"24832","Soloingles.com Internacional ","ARG",250,"other","40","2002"
"24834","Spry Hive Industries","USA",100,"software","5","2009"
"24836","ShowNearby","SGP",4170,"web","20","2007"
"24842","Spinal Modulation","USA",64400,"biotech","",""
"24843","Satori Pharmaceuticals","USA",25000,"biotech","","2005"
"24844","Site9","USA",1100,"web","","1998"
"24852","Solarus","SWE",300,"cleantech","","2006"
"24857","Sensr.net","USA",1500,"web","",""
"24861","Swipely","USA",8500,"web","5","2009"
"24862","SevenLunches","USA",25,"advertising","2","2009"
"24865","Spikes Cavell & Co","GBR",1310,"other","40","1991"
"24866","Spikes Cavell","USA",3300,"software","",""
"24867","Sinapis Pharma","USA",510,"biotech","",""
"24869","Scalado","SWE",656,"software","","2000"
"24875","Stemina Biomarker Discovery","USA",2600,"biotech","","2006"
"24886","ShoeDazzle","USA",60000,"ecommerce","",""
"24890","Storspeed","USA",13000,"software","","2007"
"24892","SeeClickFix","USA",1500,"web","2","2008"
"24895","Store Eyes","USA",1000,"other","",""
"24896","Sun Catalytix","USA",14500,"other","","2008"
"24900","SafetyWeb","USA",8750,"security","30","2009"
"24904","SantoSolve","NOR",12500,"biotech","",""
"24905","SustainX","USA",24000,"other","",""
"24911","SemiSouth Laboratories","USA",39000,"semiconductor","","2000"
"24916","Sanswire","USA",800,"hardware","","2002"
"24920","ShopIgniter","USA",11000,"ecommerce","30","2008"
"24921","Streyner","USA",13,"web","3","2009"
"24926","Solaria","USA",72000,"cleantech","",""
"24928","Soundtracker","USA",800,"mobile","5","2008"
"24931","SurIDx","USA",1694.95,"mobile","","2006"
"24943","SiC Processing","DEU",1770,"cleantech","",""
"24945","Svelte Medical Systems","USA",6000,"biotech","","2007"
"24948","Solar Nation","USA",2000,"cleantech","",""
"24950","SuVolta","USA",47878.582,"semiconductor","","2006"
"24951","Signpost","USA",1049.999,"web","8","2009"
"24952","Sikorsky Aircraft","USA",54600,"other","","2007"
"24957","StarStreet","USA",250,"web","2",""
"24972","Sinocom Pharmaceutical","HKG",15000,"biotech","","1997"
"24975","Sky Union","HKG",4500,"web","","2005"
"24977","Solaire Generation","USA",35,"cleantech","","2009"
"24978","SmartDrive Systems","USA",71000,"software","",""
"24988","StartupDigest","USA",200,"other","3","2009"
"24989","SpeakerText","USA",600,"enterprise","","2008"
"25005","Spoken Communications","USA",4000,"public_relations","15","2005"
"25016","ShopVisible","USA",823,"ecommerce","","2005"
"25019","Skybox Security","USA",11754,"security","","2002"
"25020","SureBooks","USA",1500,"software","","2007"
"25026","Siteminis","USA",125,"mobile","","2007"
"25029","Savings","USA",4000,"ecommerce","",""
"25031","ScrollMotion","USA",500,"mobile","","2008"
"25032","Syntropharma","GBR",640,"biotech","","2005"
"25035","Sanako","FIN",7800,"enterprise","","2003"
"25036","Sportistic","USA",466.969,"web","","2009"
"25043","Stemedica Cell Technologies","USA",22000,"biotech","","2005"
"25044","Step Labs","USA",6500,"public_relations","",""
"25048","Sky-trax","USA",3000,"software","",""
"25050","Sundrop Fuels","USA",21300,"cleantech","",""
"25051","Silver Creek Systems","USA",6000,"software","","1997"
"25056","Sunlight Photonics","USA",1000,"cleantech","","2008"
"25057","Salient Surgical Technologies","USA",15000,"biotech","","1999"
"25058","Storm Exchange","USA",10800,"enterprise","","2006"
"25060","Silatronix","USA",500,"cleantech","","2007"
"25063","Sweepery","USA",500,"software","3","2008"
"25068","SBA Materials","USA",5200,"other","",""
"25071","SpiderCloud Wireless","USA",39999.998,"software","","2006"
"25072","Synta Pharmaceuticals","USA",26850,"biotech","","2000"
"25073","Solta Medical","USA",21950,"biotech","","1995"
"25077","Spartoo","FRA",5500,"ecommerce","","2005"
"25080","Spectrawatt","USA",41400,"cleantech","","2008"
"25081","Symphony Dynamo","USA",20000,"biotech","","2006"
"25086","ScoutMob","USA",1500,"web","",""
"25087","Synchrony","USA",10000,"other","","1993"
"25101","Spire Corporation","USA",2000,"cleantech","","1969"
"25106","Sidense","CAN",5000,"semiconductor","40","2004"
"25108","Supercircuits","USA",10000,"hardware","","1989"
"25112","Sensitive Object","FRA",6040,"hardware","","2003"
"25115","Space Star Technology","CHN",4250,"other","",""
"25116","Sociocast Networks","USA",1625,"web","6","2008"
"25117","Shoutlet","USA",9200,"mobile","",""
"25119","Shanghai Soco Software","CHN",2930,"software","","2005"
"25120","Speed Trac Technologies","USA",2500,"hardware","",""
"25122","Sagacity Media","USA",828,"web","","2007"
"25125","Solais Lighting","USA",2100,"hardware","",""
"25126","SNRLabs","USA",2080,"software","",""
"25127","STELLAService","USA",2200,"ecommerce","","2009"
"25128","Spoofem.com","USA",147,"other","","2009"
"25132","Scaleform","USA",200,"software","30","2004"
"25133","Songwhale","USA",400,"mobile","","2007"
"25134","Spime","USA",580,"software","","2006"
"25136","SCIC SA Adullact Projet","FRA",1190,"software","",""
"25137","Skadoit","USA",1000,"other","",""
"25138","Sanrad","USA",13000,"network_hosting","",""
"25139","Smith Electric Vehicles","USA",25000,"cleantech","",""
"25144","SecureAlert","USA",21823.204,"mobile","",""
"25152","Salient Pharmaceuticals","USA",2000,"biotech","","2007"
"25155","Screampoint","USA",214,"software","",""
"25157","Scion Global","MYS",187,"other","",""
"25158","Subtextual","USA",500,"software","3","2009"
"25159","Solum","USA",2049.993,"other","","2009"
"25163","Storm Media Innovations Inc","CAN",100,"ecommerce","4","2000"
"25168","Spazzles","USA",175,"ecommerce","8","2008"
"25172","Small Demons","USA",1900,"web","8","2009"
"25174","Spotcast Communications","USA",7500,"mobile","","1998"
"25178","Shoutitout","USA",3500,"other","7","2009"
"25183","StorSimple","USA",13000,"enterprise","",""
"25184","Siano Mobile Silicon","ISR",54500,"semiconductor","",""
"25190","SensorDynamics","AUT",36760,"semiconductor","","2002"
"25191","Skyonic","USA",3000,"other","","2005"
"25195","Stroz Friedberg","USA",30000,"consulting","","2000"
"25201","Smartvue","USA",250,"security","","1996"
"25203","ShanghaiMed Healthcare","CHN",27000,"biotech","",""
"25205","SiGe Semiconductor","CAN",28500,"semiconductor","","1996"
"25209","SepSensor","USA",1863.734,"other","",""
"25210","Spredfast","USA",1600,"software","12","2008"
"25212","SkillSlate","USA",1100,"web","7","2009"
"25228","Spectrum Networks","USA",999.995,"network_hosting","","2010"
"25230","SeaWell Networks","CAN",7000,"games_video","","2008"
"25240","Suncore Inc","USA",1750,"cleantech","",""
"25241","SpeechCycle","USA",10000,"software","",""
"25242","Solidcore Systems","USA",40000,"software","","2002"
"25243","SkyBitz","USA",10000,"software","","1995"
"25244","Satellier","USA",10000,"consulting","","2000"
"25245","Summit Microelectronics","USA",13200,"semiconductor","","1997"
"25248","Simio","USA",1200,"software","","2007"
"25250","Shiny Media","GBR",4500,"advertising","",""
"25255","ScoreBig","USA",21474.999,"web","60","2009"
"25256","Soompi","USA",282.077,"web","","2010"
"25258","Smartling","USA",4099.998,"web","","2009"
"25262","Sajan","USA",10924.534,"web","",""
"25263","Svaya Nanotechnologies","USA",3146.037,"other","","2008"
"25268","Seeker Wireless","AUS",9060,"software","","2003"
"25270","Sistemic","GBR",1000,"biotech","","2009"
"25275","Secure Outcomes","USA",20,"other","","2008"
"25276","Syscor","CAN",170,"other","","2008"
"25277","Scientific Media","USA",1200,"web","","2007"
"25282","Starburst Coin Machines","CAN",5960,"hardware","","1975"
"25283","SensAble Technologies","USA",34300,"software","","1993"
"25284","Stickybits","USA",1900,"mobile","2","2009"
"25288","Syntaxin","GBR",71390,"biotech","",""
"25292","ServiceCEO","USA",7000,"software","","1997"
"25298","SmartSynch","USA",48670,"network_hosting","",""
"25299","Shoplogix","CAN",7000,"software","","2002"
"25300","SkyRecon Systems","FRA",10230,"software","","2003"
"25301","Sensics","USA",946.687,"games_video","",""
"25303","Silistix","GBR",6000,"semiconductor","","2003"
"25304","SIPphone","USA",6000,"software","",""
"25305","SkillPages","IRL",4000,"web","19","2008"
"25306","Syndax Pharmaceuticals","USA",9000,"biotech","","2005"
"25311","Spectral Image","USA",5000,"biotech","","2007"
"25312","Seadev-FermenSys","FRA",4370,"biotech","",""
"25315","Smartfield","USA",165,"cleantech","",""
"25316","Sciona","USA",13300,"biotech","","2000"
"25317","Silk Road Medical","USA",3400,"biotech","","2007"
"25319","StageMark","USA",1900,"biotech","","2004"
"25321","Sword Diagnostics","USA",3590,"biotech","",""
"25327","Social Growth Technologies","USA",150,"web","","2009"
"25331","Sofea","CAN",5330,"software","",""
"25332","SensiGen","USA",250,"biotech","",""
"25334","Silent Communication","ISR",5000,"mobile","","2004"
"25340","SafetyCertified","USA",260,"other","9","1999"
"25343","Serveron","USA",8000,"hardware","","2001"
"25346","Spatial Photonics","USA",3803.8,"hardware","",""
"25347","SocialVest","USA",1150,"other","","2009"
"25348","Supertec","FRA",5940,"software","","2003"
"25352","Sparus Software","FRA",5420,"software","","2003"
"25358","Smish","USA",2000,"software","25","2009"
"25362","Saladax Biomedical","USA",8400,"biotech","",""
"25364","Skyway Software","USA",4000,"software","","2001"
"25366","Sakti3","USA",13200,"hardware","","2007"
"25372","Signal Processing Devices Sweden","SWE",3890,"semiconductor","","2004"
"25373","Straker","IRL",300,"software","24","1999"
"25374","Seestream","FRA",3880,"software","","2000"
"25375","Sypherlink","USA",7000,"software","","2001"
"25380","Simplicita Software","USA",2100,"software","",""
"25382","Surgient","USA",20000,"software","",""
"25386","Sure Secure Solutions","USA",124,"security","",""
"25389","Synfora","USA",3500,"software","","2003"
"25392","SeaPass Solutions","USA",11500,"software","","2000"
"25394","Siving Egil Kvaleberg","NOR",7700,"software","","1983"
"25398","ServiceMax","USA",22000,"software","","1999"
"25399","SintecMedia","USA",10000,"software","",""
"25403","Syncronex","USA",2830,"software","","1997"
"25404","Silicon Biosystems","ITA",9550,"semiconductor","",""
"25406","Seemage","FRA",2670,"software","","2002"
"25407","Snacksquare ","USA",30,"advertising","7","2010"
"25412","ServiceBench","USA",7300,"software","","1995"
"25414","Somanta Pharmaceuticals","USA",4920,"biotech","","2001"
"25415","Scivantage","USA",34700,"software","","2000"
"25421","Synchro","GBR",2450,"software","","2001"
"25423","Solstice Neurosciences","USA",93000,"biotech","",""
"25424","Solexa","USA",172500,"biotech","",""
"25425","Sanovi Technologies","USA",6100,"software","","2002"
"25426","sentitO Networks","USA",6000,"software","","2000"
"25427","Scalix","USA",6000,"software","",""
"25428","Syntricity","USA",9100,"software","","1997"
"25430","SecurActive","FRA",1940,"security","","2004"
"25431","Short Fuze","GBR",1930,"software","","2003"
"25432","Synerchip","USA",10500,"semiconductor","",""
