"","name","country_code","amount_raised","category_code","number_of_employees","founded_year"
"6735","Gamelet","TWN",220,"games_video","7","2008"
"6738","GameLogic","USA",18600,"games_video","",""
"6740","GamePlan Technologies","USA",2500,"software","",""
"6741","GamerDNA","USA",3000,"web","13","2006"
"6748","Gamervision","USA",10000,"games_video","",""
"6751","GameSalad","USA",7100,"mobile","15","2007"
"6753","Generic Media","USA",2500,"software","","2000"
"6755","Gamestaq","USA",1000,"ecommerce","4",""
"6764","Ganos","USA",5,"software","3","2010"
"6766","Gamida Cell","ISR",16000,"biotech","",""
"6768","Gamify","USA",193,"enterprise","4","2010"
"6769","gamigo","DEU",1220,"games_video","",""
"6773","Gamma Enterprise Technologies","USA",6200,"software","","1991"
"6774","Gamma Medica-Ideas","USA",14000,"biotech","",""
"6777","Gamook","USA",1500,"games_video","",""
"6787","GAP Miners","IND",500,"web","12","2008"
"6792","Garena","SGP",2000,"web","100",""
"6794","Garlik","GBR",24690,"software","12","2005"
"6797","Garnet Biotherapeutics","USA",10400,"biotech","",""
"6803","GATe Technology","VNM",3500,"software","50","2007"
"6807","Gatekeeper System","USA",2000,"hardware","","1997"
"6809","GateRocket","USA",6230.757,"semiconductor","","2003"
"6815","Gather","USA",27450,"web","26","2005"
"6819","Gazelle","USA",24400,"ecommerce","",""
"6820","gAuto","USA",350,"ecommerce","3","2008"
"6828","gaytravel.com","USA",1000,"web","9","1999"
"6832","Gazillion Entertainment","USA",60000,"games_video","",""
"6835","Gazzang","USA",3500,"software","",""
"6838","GB Environmental","GBR",1320,"cleantech","",""
"6843","gBox","USA",5000,"web","20",""
"6845","GC Aesthetics","IRL",30000,"hardware","",""
"6847","GCD Systeme","DEU",641,"public_relations","",""
"6853","GCT Semiconductor","USA",5000,"semiconductor","","1998"
"6861","GE Global Research","USA",4000,"enterprise","",""
"6865","GeneExcel","USA",700,"biotech","","2002"
"6868","Gear6","USA",20000,"network_hosting","20","2006"
"6869","GearHeadz","USA",25,"enterprise","","2009"
"6871","Gearworks","USA",21400,"mobile","","1999"
"6874","Gecko Audio","USA",3000,"software","","2006"
"6892","GeekStatus","USA",435.953,"web","12","2010"
"6894","Geelbe","ARG",4700,"ecommerce","48","2008"
"6897","GeeYee","USA",102.5,"web","","2007"
"6905","Gelesis","USA",22200,"biotech","",""
"6906","GeMeTec Metrology","DEU",670,"hardware","","1985"
"6907","Gemfire","USA",37000,"other","","1995"
"6908","Gemidis","BEL",8080,"hardware","","2004"
"6910","Gemin X Pharmaceuticals","CAN",62000,"biotech","","1998"
"6911","Geminare","CAN",485,"software","",""
"6913","Gemini Mobile Technologies","USA",32500,"mobile","","2001"
"6926","GenArts","USA",22400,"games_video","15",""
"6927","Genasys","ESP",2780,"software","",""
"6928","GENBAND","USA",40200,"network_hosting","",""
"6931","Gendel","GBR",366,"biotech","",""
"6932","Gene Security Network","USA",24000,"biotech","",""
"6933","Genelabs Technologies","USA",17300,"biotech","76","1983"
"6934","Genemation","GBR",440,"software","",""
"6935","GeneNews","CAN",100.808,"biotech","","1998"
"6939","General Compression","USA",71490,"cleantech","",""
"6941","General Dynamics","USA",84900,"consulting","92900","1952"
"6953","Generate","USA",8000,"games_video","",""
"6964","Genesis Networks","USA",21415.091,"network_hosting","","2002"
"6965","Genesis Operating System","ISR",500,"software","","2003"
"6973","Geni","USA",16500,"web","18","2006"
"6978","Genieo Innovation","ISR",3000,"web","15","2008"
"6979","GenieTown","USA",2000,"search","8","2006"
"6983","Genius.com","USA",40599.999,"software","65","2005"
"6987","Genizon BioSciences","CAN",42810,"biotech","",""
"6989","GenKyoTex","CHE",25770,"biotech","",""
"6991","Genmab","DNK",157000,"biotech","",""
"6993","Gennio","ESP",600,"web","18","2005"
"6996","Genoa Color Technologies","ISR",5000,"hardware","",""
"6997","Genocea Biosciences","USA",35000,"biotech","","2006"
"6998","GenoLogics","CAN",5000,"biotech","",""
"6999","Genomatica","USA",60000,"cleantech","",""
"7001","Genome","USA",250,"biotech","","2007"
"7002","Genomed","POL",389,"biotech","",""
"7003","GenomeQuest","USA",11200,"software","",""
"7005","Identec Solutions","AUT",22500,"hardware","","1999"
"7007","Genomic Vision","FRA",2400,"biotech","",""
"7008","Genoom","ESP",80,"network_hosting","8","2007"
"7015","Genticel","FRA",17700,"biotech","",""
"7017","Gentis","USA",10000,"biotech","",""
"7022","GenVault","USA",31000,"biotech","",""
"7023","GENWI","USA",1000,"web","11","2010"
"7025","Geo Semiconductor","USA",3000,"semiconductor","","2009"
"7032","GEOCOMtms","USA",3070,"software","","1999"
"7036","Geodelic Systems","USA",10500,"mobile","30","2008"
"7042","Geodynamics","AUS",90000,"other","","2000"
"7043","GeoEye","USA",78000,"other","","1991"
"7045","GeoIQ","USA",11500,"web","","2005"
"7052","Geomagic","USA",8000,"software","90",""
"7066","Geos Communications","USA",2500,"mobile","",""
"7067","GeoSentric","NLD",24100,"mobile","","2007"
"7072","Geostellar","USA",1500,"cleantech","10","2011"
"7079","Gera-IT","UKR",50,"web","20","2006"
"7094","Get out of Cambridge","USA",560,"ecommerce","",""
"7095","Get Satisfaction","USA",10850,"web","26","2007"
"7097","Get Taxi","ISR",2000,"mobile","43","2010"
"7102","Giftiki","USA",1000,"web","5","2009"
"7107","GetBack","USA",1700,"web","","2007"
"7110","Getfugu","USA",800,"software","10","2007"
"7115","GetJar Networks","LTU",42000,"mobile","20","2003"
"7123","GetQuik","USA",200,"web","",""
"7128","GettingHired","USA",3000,"web","","2004"
"7133","Giant Realm","USA",5500,"web","",""
"7137","Gevo","USA",17000,"cleantech","",""
"7138","Gextech Holdings","GBR",4120,"software","","2005"
"7140","GFG Group","NZL",13000,"software","50","1989"
"7157","Giantec Semiconductor","JPN",10087.635,"semiconductor","","2009"
"7168","Gifi","USA",1200,"ecommerce","6","2010"
"7170","Giftango","USA",6400,"ecommerce","",""
"7182","Giga Omni Media","USA",14325,"web","41","2006"
"7185","GigaCrete","USA",5000,"other","",""
"7186","GigaFin Networks","USA",14600,"public_relations","",""
"7187","GigaLogix","USA",1400,"public_relations","",""
"7190","Gigamon","USA",22800,"network_hosting","60","2004"
"7194","GigaSpaces Technologies","USA",11000,"software","","2000"
"7196","GigaTrust","USA",11000,"software","",""
"7199","Gigi Hill","USA",3000,"ecommerce","",""
"7200","Gigwalk","USA",1700,"web","6","2010"
"7202","Gigle Networks","ESP",31000,"semiconductor","","2005"
"7206","Gigoptix","USA",6311,"semiconductor","",""
"7207","GigPark","CAN",200,"network_hosting","4","2007"
"7214","Gigya","USA",29500,"enterprise","50","2006"
"7216","Giiv","USA",3350,"ecommerce","","2009"
"7224","Gilt Groupe","USA",236000,"web","",""
"7228","Gimao Networks","ISR",300,"web","10","2008"
"7233","Giner Electrochemical Systems","USA",1500,"other","",""
"7238","Gingersoft Media","IND",2000,"advertising","",""
"7239","Ginio","CHN",600,"search","16","2006"
"7242","Gioia Systems","USA",2915.018,"games_video","","2005"
"7244","GIRAFFIC","USA",1000,"software","7","2008"
"7245","Giritech ","CZE",4000,"software","","2003"
"7250","GlobalLogic","USA",12500,"software","","1998"
"7254","Gist","USA",10750,"web","",""
"7264","Giveo","USA",1500,"web","",""
"7272","Gizmo5","USA",6000,"public_relations","","2003"
"7274","Gizmoz","USA",18100,"web","","2003"
"7279","Glacier Bay","USA",28000,"cleantech","","1990"
"7286","MovingHealth","USA",1500,"software","","2007"
"7288","Glam Media","USA",174600,"web","300","2003"
"7292","Glamour Sales Holding","JPN",13000,"ecommerce","",""
"7296","Glarity","USA",30,"ecommerce","2","2007"
"7298","Glassdoor","USA",21500,"web","55","2007"
"7300","GlassHouse Technologies","USA",81853.525,"consulting","","2001"
"7301","GlassPoint Solar","USA",5086.484,"cleantech","","2008"
"7305","Glaxstar","GBR",4000,"software","17",""
"7308","GlenRose Instruments","USA",14880,"biotech","","2005"
"7313","Glide Health","USA",1000,"mobile","5","2009"
"7314","Glide Pharma","GBR",4300,"biotech","",""
"7315","Glide Technologies","GBR",1990,"public_relations","","2003"
"7321","Gliknik","USA",3500,"biotech","",""
"7322","Glimmerglass Networks","USA",17626.545,"network_hosting","",""
"7323","Glimpse","USA",4000,"ecommerce","",""
"7326","GLO","SWE",11397.016,"semiconductor","","2005"
"7330","Global Locate","USA",33000,"semiconductor","","1999"
"7334","Global Analytics","USA",10000,"software","",""
"7336","Global Axcess","USA",1200,"other","45","1984"
"7347","Global Data Solutions","CHN",75000,"software","","2000"
"7354","Global Fitness Media","USA",3200,"web","",""
"7355","Global Grind","USA",7100,"games_video","20",""
"7358","Global Imaging Online","FRA",9700,"software","","1999"
"7363","Global Integrity","USA",2400,"other","",""
"7382","Global Roaming ","USA",30500,"mobile","29","2006"
"7385","Global Silicon","GBR",10000,"semiconductor","","1997"
"7393","Global Telecom & Technology","USA",15000,"network_hosting","",""
"7397","Global Velocity","USA",500,"security","",""
"7406","GlobalCrypto","USA",1000,"software","","2006"
"7410","GlobalMotion","USA",1000,"web","0","2006"
"7414","GlobalPrint Systems","USA",200,"hardware","","2005"
"7416","globalscholar.com","USA",27000,"other","150",""
"7417","GlobalServe","USA",4920,"consulting","","1996"
"7429","Globant","ARG",28000,"software","1500","2003"
"7434","GlobeImmune","USA",17500,"biotech","","1995"
"7435","Globel Direct","CAN",1490,"public_relations","","1969"
"7437","GlobeRanger","USA",8300,"mobile","","1999"
"7445","GlocalReach","GBR",200,"mobile","","2007"
"7450","GloNav","USA",16200,"semiconductor","","2006"
"7457","gloStream","USA",7500,"biotech","",""
"7460","Gloucester Pharmaceuticals","USA",29000,"biotech","",""
"7463","Glowpoint","USA",3000,"games_video","",""
"7467","Glu Mobile","USA",13500,"mobile","",""
"7472","Gluster","USA",8500,"software","",""
"7475","GlycoMimetics","USA",38000,"biotech","","2003"
"7476","Glycominds","ISR",1000,"biotech","",""
"7477","Glycos Biotechnologies","USA",8025.296,"cleantech","",""
"7479","GlycoVaxyn","CHE",22067,"biotech","",""
"7480","Glyde","USA",27000,"ecommerce","","2006"
"7491","GMI","USA",35000,"software","","1999"
"7497","Gnip","USA",6600,"web","11","2008"
"7499","Gnodal","GBR",2190,"enterprise","21","2007"
"7503","GnuBIO","USA",3000,"other","","2009"
"7510","GO! Overseas","USA",100,"web","20","2008"
"7513","GO-SIM","GBR",494,"web","",""
"7523","Go800","USA",500,"other","",""
"7524","Goa Internet Services","ESP",1260,"web","","2006"
"7528","GoalSpring Financial","USA",2000,"web","","2008"
"7532","GOBA","USA",750,"web","7","2009"
"7533","Gobble","USA",1200,"other","","2010"
"7537","Goby","USA",2500,"web","12","2008"
"7538","GoChongo","USA",175,"web","",""
"7539","GoCrossCampus","USA",375,"games_video","25","2007"
"7541","Godengo","USA",2160,"advertising","",""
"7542","GodTube","USA",32500,"games_video","",""
"7549","GoFish","USA",24000,"games_video","","2003"
"7556","Gogobot","USA",4000,"web","8","2010"
"7562","GoGoPin","USA",800,"web","10","2007"
"7568","Going","USA",5000,"web","",""
"7571","GoingOn","USA",8500,"enterprise","10","2008"
"7580","Gold Coast Solar","USA",50,"cleantech","3","2009"
"7582","Gold Lasso","USA",400,"software","27","2002"
"7594","GoldSpot Media","USA",15050,"advertising","",""
"7610","GoMiles","USA",12,"web","","2010"
"7619","Good Men Media","USA",500,"advertising","",""
"7621","Good Start Genetics","USA",18000,"biotech","","2008"
"7622","Good Technology","USA",95000,"mobile","","1996"
"7628","GoodBelly","USA",16000,"biotech","",""
"7630","GoodClic","USA",115,"mobile","5","2010"
"7632","GoodData","USA",13500,"enterprise","60","2007"
"7634","GoodGuide","USA",9230,"web","10","2007"
"7635","goodideazs","USA",27,"advertising","","2007"
"7636","Goodmail Systems","USA",45000,"security","","2003"
"7639","Goodreads","USA",2750,"web","","2006"
"7646","GoodyTag","ISR",550,"advertising","10","2010"
"7650","Google","USA",25100,"search","20000","1998"
"7654","Goom Radio","USA",16000,"web","","2009"
"7656","Goozzy","USA",650,"web","16","2009"
"7662","GoSave!","USA",360,"web","10","2009"
"7663","Greenline Industries","USA",20000,"cleantech","","2005"
"7664","GoPlanit","USA",500,"web","","2007"
"7676","GOSO","USA",750,"advertising","10","2009"
"7686","GotCast","USA",50,"web","","2007"
"7688","GotGame","USA",1000,"games_video","15","2006"
"7701","GottaPark","USA",600,"web","5","2007"
"7703","Gotuit","USA",16000,"web","","2000"
"7704","GoTV Networks","USA",28000,"mobile","40","1997"
"7705","GotVoice","USA",3000,"mobile","12","2003"
"7710","GovDelivery","USA",19700,"public_relations","75","1999"
"7716","goviral","GBR",8820,"games_video","55","2005"
"7719","Gowalla","USA",10400.001,"web","22","2007"
"7724","GoYoDeo","USA",150,"games_video","6","2007"
"7735","Grab Games","USA",3000,"games_video","25","2005"
"7736","Grab Networks","USA",34500,"advertising","",""
"7739","Grabbed","AUS",20,"ecommerce","4",""
"7740","GrabCAD","EST",1100,"other","5","2009"
"7744","Graduateland","DNK",15,"public_relations","6","2009"
"7751","Grain Communications Group","USA",20000,"mobile","",""
"7753","Graitec","FRA",5420,"software","",""
"7769","GrandCentral ","USA",4000,"mobile","3","2006"
"7771","Granicus","USA",10000,"software","","1999"
"7774","GrantAdler","USA",100,"biotech","",""
"7779","Graphicly","USA",4218,"web","10","2009"
"7785","Graspr","USA",2500,"games_video","",""
"7798","Great Basin","USA",12100,"biotech","","2005"
"7802","Great Lakes Pharmaceuticals","USA",3100,"biotech","",""
"7805","GreatCall","USA",74600,"mobile","","2005"
"7810","GreatPoint Energy","USA",142000,"cleantech","","2004"
"7817","Green Biologics","GBR",9300,"biotech","18",""
"7820","Green Chips","USA",75,"cleantech","",""
"7825","Green Energy Options","GBR",2390,"cleantech","40","2006"
"7826","Green Gas International","GBR",780,"cleantech","",""
"7836","Green Mountain Digital","USA",1475,"mobile","13","2009"
"7853","Green Vision Systems","ISR",5400,"cleantech","","1996"
"7859","GreenBiz Group","USA",1400,"cleantech","15","2000"
"7864","GreenButton","NZL",1500,"software","13","2006"
"7865","GreenBytes","USA",12500,"network_hosting","","2007"
"7876","GreenGoose!","USA",250,"hardware","","2010"
"7878","GreenHunter Energy","USA",37600,"cleantech","","2006"
"7885","Greenlet Technologies","ISR",541.712,"cleantech","",""
"7889","GreenLink Networks","USA",3500,"ecommerce","","2006"
"7892","GreenNote","USA",4200,"web","15","2007"
"7895","GreenPeak Technologies","NLD",30110,"semiconductor","","2004"
"7897","Greenplum Software","USA",61000,"software","450","2003"
"7899","GreenRay","USA",2000,"cleantech","",""
"7900","GreenRay Solar","USA",2000,"cleantech","10","2006"
"7902","GreenRoad Technologies ","USA",58400,"cleantech","",""
"7912","Greentech Media","USA",4575,"consulting","","2007"
"7917","GreenVolts","USA",37500,"cleantech","68","2005"
"7918","GreenWave Reality","USA",11000,"hardware","",""
"7919","Greenway Medical Technologies","USA",22000,"software","",""
"7921","GreenWizard","USA",1150,"software","",""
"7926","Greetz","NLD",15870,"web","",""
"7930","GrexIt","USA",12,"software","2","2010"
"7933","Greystripe","USA",18100,"advertising","35","2005"
"7938","Grid Networks","USA",20000,"games_video","",""
"7939","Grid2Home","USA",4600,"software","","2007"
"7940","GridApp Systems","USA",5000,"software","","2002"
"7946","GridIron Software","CAN",533.333,"software","",""
"7952","Newser","USA",2500,"web","","2007"
"7953","GridPoint","USA",252100,"cleantech","","2003"
"7954","Gridpoint Systems","USA",8000,"software","","2005"
"7956","Gridstone Research","USA",10000,"software","",""
"7976","Grocery Shopping Network ","USA",7000,"software","","1996"
"7977","Grocio","USA",1375,"web","1","2007"
"7978","Grockit","USA",17700,"games_video","15","2006"
"7983","HealthWarehouse.com","USA",3000,"ecommerce","40","2007"
"7987","Groove Club","USA",83,"games_video","5","1999"
